recommendation_id,recommendation,specification,acceptance_id
REC-WEB-001,Ensure web profile has a documented same-origin production topology,OMNIUS-025,AC-WEB-001
REC-WEB-002,Ensure framework-neutral SDK does not depend on React,OMNIUS-025,AC-WEB-002
REC-WEB-003,Ensure every browser-facing module declares a frontend exposure,OMNIUS-025,AC-WEB-003
REC-WEB-004,Ensure every headless module explicitly declares no frontend exposure and a reason,OMNIUS-025,AC-WEB-004
REC-WEB-005,Ensure product UI imports only public SDK entry points,OMNIUS-025,AC-WEB-005
REC-WEB-006,Ensure baseline web profile requires no JavaScript production server,OMNIUS-025,AC-WEB-006
REC-WEB-007,Ensure frontend build records the aggregate contract hash,OMNIUS-025,AC-WEB-007
REC-WEB-008,Ensure web configuration is typed and rejects unknown production keys,OMNIUS-025,AC-WEB-008
REC-WEB-009,Ensure missing required production assets fail startup or readiness,OMNIUS-025,AC-WEB-009
REC-WEB-010,Ensure web topology and browser capabilities are observable without exposing secrets,OMNIUS-025,AC-WEB-010
REC-WEB-011,Ensure openAPI export is byte-for-byte deterministic,OMNIUS-026,AC-WEB-011
REC-WEB-012,Ensure every selected public HTTP operation is covered by OpenAPI,OMNIUS-026,AC-WEB-012
REC-WEB-013,Ensure asyncAPI export covers every selected browser-facing asynchronous message,OMNIUS-026,AC-WEB-013
REC-WEB-014,Ensure permissions contract derives from the backend authorization registry,OMNIUS-026,AC-WEB-014
REC-WEB-015,"Ensure capabilities contract distinguishes compiled, runtime, flag, entitlement, and permission concepts",OMNIUS-026,AC-WEB-015
REC-WEB-016,Ensure contract manifest verifies individual and aggregate SHA-256 hashes,OMNIUS-026,AC-WEB-016
REC-WEB-017,Ensure contract check fails on stale committed output,OMNIUS-026,AC-WEB-017
REC-WEB-018,"Ensure semantic diff detects breaking operation, permission, schema, and event changes",OMNIUS-026,AC-WEB-018
REC-WEB-019,Ensure typeScript generation rejects duplicate or missing stable operation identifiers,OMNIUS-026,AC-WEB-019
REC-WEB-020,Ensure runtime metadata and embedded frontend contract hashes are compared observably,OMNIUS-026,AC-WEB-020
REC-WEB-021,Ensure generated HTTP client compiles under strict TypeScript settings,OMNIUS-027,AC-WEB-021
