recommendation_id,recommendation,specification,acceptance_id
REC-AI-001,Ensure suite applies append-only without modifying prior bundle files,OMNIUS-035,AC-AI-001
REC-AI-002,Ensure one agent capability registry serves HTTP jobs LLM tools and MCP projections,OMNIUS-035,AC-AI-002
REC-AI-003,Ensure public application code imports no Rig or RMCP domain types,OMNIUS-035,AC-AI-003
REC-AI-004,Ensure compiled and runtime AI capabilities are explicit and observable,OMNIUS-035,AC-AI-004
REC-AI-005,Ensure principal tenant trace deadline cancellation and policy context survive every adapter,OMNIUS-035,AC-AI-005
REC-AI-006,Ensure default profiles contain no deprecated MCP feature implementation,OMNIUS-035,AC-AI-006
REC-AI-007,Ensure every AI and MCP module participates in configuration lifecycle health telemetry and tests,OMNIUS-035,AC-AI-007
REC-AI-008,Ensure hTTP job browser and MCP paths execute the same application capability behavior,OMNIUS-035,AC-AI-008
REC-AI-009,Ensure canonical response preserves ordered heterogeneous output parts,OMNIUS-036,AC-AI-009
REC-AI-010,Ensure plaintext output is returned without provider-specific wrappers,OMNIUS-036,AC-AI-010
REC-AI-011,Ensure structured output accepts any JSON value and records schema validation,OMNIUS-036,AC-AI-011
REC-AI-012,Ensure tool calls and results retain stable IDs names arguments and provenance,OMNIUS-036,AC-AI-012
REC-AI-013,Ensure citations and refusals remain first-class typed output,OMNIUS-036,AC-AI-013
REC-AI-014,Ensure image audio video file and generated-media outputs support bounded inline URL and object references,OMNIUS-036,AC-AI-014
REC-AI-015,Ensure reasoning output exposes only provider-sanctioned summaries signatures or opaque state,OMNIUS-036,AC-AI-015
REC-AI-016,Ensure completion and specialized model-operation contracts retain unknown provider content without silent loss,OMNIUS-036,AC-AI-016
REC-AI-017,Ensure rig 0.42.0 provider adapter resolves and passes compatibility fixtures,OMNIUS-037,AC-AI-017
REC-AI-018,Ensure provider catalog covers every configured provider and adapter module,OMNIUS-037,AC-AI-018
REC-AI-019,Ensure adapters normalize response IDs request IDs stop reasons usage and warnings,OMNIUS-037,AC-AI-019
REC-AI-020,Ensure raw provider payload retention follows explicit redaction and retention policy,OMNIUS-037,AC-AI-020
REC-AI-021,Ensure model capabilities are revisioned and evidence-backed,OMNIUS-037,AC-AI-021
REC-AI-022,Ensure unsupported requirements never silently downgrade or reroute,OMNIUS-037,AC-AI-022
REC-AI-023,Ensure provider credentials and endpoint overrides pass secret and outbound policies,OMNIUS-037,AC-AI-023
REC-AI-024,Ensure provider failures are typed and correctly classified for retry,OMNIUS-037,AC-AI-024
REC-AI-025,Ensure structured output uses JSON Schema Draft 2020-12,OMNIUS-038,AC-AI-025
REC-AI-026,Ensure native strict structured output is preferred when supported,OMNIUS-038,AC-AI-026
REC-AI-027,Ensure every structured result is locally validated with bounded repair attempts,OMNIUS-038,AC-AI-027
REC-AI-028,Ensure streaming events preserve part order sequence identity and terminal state,OMNIUS-038,AC-AI-028
REC-AI-029,Ensure backpressure and cancellation remain bounded through provider and tool execution,OMNIUS-038,AC-AI-029
REC-AI-030,Ensure tool execution enforces validation authorization confirmation idempotency and audit,OMNIUS-038,AC-AI-030
REC-AI-031,Ensure agent loops enforce model tool time token cost and concurrency budgets,OMNIUS-038,AC-AI-031
REC-AI-032,Ensure partial JSON and tool arguments are never exposed as complete values,OMNIUS-038,AC-AI-032
REC-AI-033,Ensure routes filter candidates by hard capabilities and policy before ranking,OMNIUS-039,AC-AI-033
REC-AI-034,Ensure estimated and actual usage costs are reserved and reconciled,OMNIUS-039,AC-AI-034
REC-AI-035,Ensure timeout and retry policy respects total deadline idempotency and retry-after,OMNIUS-039,AC-AI-035
REC-AI-036,Ensure hedging is disabled by default and restricted to safe requests,OMNIUS-039,AC-AI-036
REC-AI-037,Ensure fallback proves semantic compatibility and records its reason,OMNIUS-039,AC-AI-037
REC-AI-038,Ensure quotas apply by tenant principal route provider model and operation,OMNIUS-039,AC-AI-038
REC-AI-039,Ensure circuit health distinguishes provider endpoint region model and credential failures,OMNIUS-039,AC-AI-039
REC-AI-040,Ensure required routes affect readiness when no compliant provider remains,OMNIUS-039,AC-AI-040
